,Unnamed: 0,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special
0,0,20801,Cristiano Ronaldo,32,https://cdn.sofifa.org/48/18/players/20801.png,Portugal,https://cdn.sofifa.org/flags/38.png,94,94,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€95.5M,€565K,2228
1,1,158023,L. Messi,30,https://cdn.sofifa.org/48/18/players/158023.png,Argentina,https://cdn.sofifa.org/flags/52.png,93,93,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€105M,€565K,2154
2,2,190871,Neymar,25,https://cdn.sofifa.org/48/18/players/190871.png,Brazil,https://cdn.sofifa.org/flags/54.png,92,94,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€123M,€280K,2100
3,3,176580,L. Suárez,30,https://cdn.sofifa.org/48/18/players/176580.png,Uruguay,https://cdn.sofifa.org/flags/60.png,92,92,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€97M,€510K,2291
4,4,167495,M. Neuer,31,https://cdn.sofifa.org/48/18/players/167495.png,Germany,https://cdn.sofifa.org/flags/21.png,92,92,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€61M,€230K,1493
5,5,188545,R. Lewandowski,28,https://cdn.sofifa.org/48/18/players/188545.png,Poland,https://cdn.sofifa.org/flags/37.png,91,91,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€92M,€355K,2143
6,6,193080,De Gea,26,https://cdn.sofifa.org/48/18/players/193080.png,Spain,https://cdn.sofifa.org/flags/45.png,90,92,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€64.5M,€215K,1458
7,7,183277,E. Hazard,26,https://cdn.sofifa.org/48/18/players/183277.png,Belgium,https://cdn.sofifa.org/flags/7.png,90,91,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€90.5M,€295K,2096
8,8,182521,T. Kroos,27,https://cdn.sofifa.org/48/18/players/182521.png,Germany,https://cdn.sofifa.org/flags/21.png,90,90,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€79M,€340K,2165
9,9,167664,G. Higuaín,29,https://cdn.sofifa.org/48/18/players/167664.png,Argentina,https://cdn.sofifa.org/flags/52.png,90,90,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€77M,€275K,1961
10,10,155862,Sergio Ramos,31,https://cdn.sofifa.org/48/18/players/155862.png,Spain,https://cdn.sofifa.org/flags/45.png,90,90,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€52M,€310K,2153
11,11,192985,K. De Bruyne,26,https://cdn.sofifa.org/48/18/players/192985.png,Belgium,https://cdn.sofifa.org/flags/7.png,89,92,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€83M,€285K,2162
12,12,192119,T. Courtois,25,https://cdn.sofifa.org/48/18/players/192119.png,Belgium,https://cdn.sofifa.org/flags/7.png,89,92,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€59M,€190K,1282
13,13,184941,A. Sánchez,28,https://cdn.sofifa.org/48/18/players/184941.png,Chile,https://cdn.sofifa.org/flags/55.png,89,89,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€67.5M,€265K,2181
14,14,177003,L. Modrić,31,https://cdn.sofifa.org/48/18/players/177003.png,Croatia,https://cdn.sofifa.org/flags/10.png,89,89,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€57M,€340K,2228
15,15,173731,G. Bale,27,https://cdn.sofifa.org/48/18/players/173731.png,Wales,https://cdn.sofifa.org/flags/50.png,89,89,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€69.5M,€370K,2263
16,16,153079,S. Agüero,29,https://cdn.sofifa.org/48/18/players/153079.png,Argentina,https://cdn.sofifa.org/flags/52.png,89,89,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€66.5M,€325K,2074
17,17,138956,G. Chiellini,32,https://cdn.sofifa.org/48/18/players/138956.png,Italy,https://cdn.sofifa.org/flags/27.png,89,89,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€38M,€225K,1867
18,18,1179,G. Buffon,39,https://cdn.sofifa.org/48/18/players/1179.png,Italy,https://cdn.sofifa.org/flags/27.png,89,89,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€4.5M,€110K,1335
19,19,211110,P. Dybala,23,https://cdn.sofifa.org/48/18/players/211110.png,Argentina,https://cdn.sofifa.org/flags/52.png,88,93,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€79M,€215K,2063
20,20,200389,J. Oblak,24,https://cdn.sofifa.org/48/18/players/200389.png,Slovenia,https://cdn.sofifa.org/flags/44.png,88,93,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,€57M,€82K,1290
21,21,194765,A. Griezmann,26,https://cdn.sofifa.org/48/18/players/194765.png,France,https://cdn.sofifa.org/flags/18.png,88,91,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,€75M,€150K,2104
22,22,189509,Thiago,26,https://cdn.sofifa.org/48/18/players/189509.png,Spain,https://cdn.sofifa.org/flags/45.png,88,90,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€70.5M,€225K,2185
23,23,188567,P. Aubameyang,28,https://cdn.sofifa.org/48/18/players/188567.png,Gabon,https://cdn.sofifa.org/flags/115.png,88,88,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,€61M,€165K,2078
24,24,184344,L. Bonucci,30,https://cdn.sofifa.org/48/18/players/184344.png,Italy,https://cdn.sofifa.org/flags/27.png,88,88,Milan,https://cdn.sofifa.org/24/18/teams/47.png,€44M,€210K,1995
25,25,183907,J. Boateng,28,https://cdn.sofifa.org/48/18/players/183907.png,Germany,https://cdn.sofifa.org/flags/21.png,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€48M,€215K,1989
26,26,182493,D. Godín,31,https://cdn.sofifa.org/48/18/players/182493.png,Uruguay,https://cdn.sofifa.org/flags/60.png,88,88,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,€40M,€125K,1930
27,27,178603,M. Hummels,28,https://cdn.sofifa.org/48/18/players/178603.png,Germany,https://cdn.sofifa.org/flags/21.png,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€48M,€215K,2038
28,28,176635,M. Özil,28,https://cdn.sofifa.org/48/18/players/176635.png,Germany,https://cdn.sofifa.org/flags/21.png,88,88,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€60M,€265K,1927
29,29,167948,H. Lloris,30,https://cdn.sofifa.org/48/18/players/167948.png,France,https://cdn.sofifa.org/flags/18.png,88,88,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€38M,€165K,1318
30,30,164240,Thiago Silva,32,https://cdn.sofifa.org/48/18/players/164240.png,Brazil,https://cdn.sofifa.org/flags/54.png,88,88,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€34M,€175K,2124
31,31,41236,Z. Ibrahimović,35,https://cdn.sofifa.org/48/18/players/41236.png,Sweden,https://cdn.sofifa.org/flags/46.png,88,88,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€27M,€240K,2075
32,32,9014,A. Robben,33,https://cdn.sofifa.org/48/18/players/9014.png,Netherlands,https://cdn.sofifa.org/flags/34.png,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€36M,€225K,2081
33,33,215914,N. Kanté,26,https://cdn.sofifa.org/48/18/players/215914.png,France,https://cdn.sofifa.org/flags/18.png,87,90,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€52.5M,€190K,2154
34,34,199556,M. Verratti,24,https://cdn.sofifa.org/48/18/players/199556.png,Italy,https://cdn.sofifa.org/flags/27.png,87,91,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€64.5M,€130K,2154
35,35,195864,P. Pogba,24,https://cdn.sofifa.org/48/18/players/195864.png,France,https://cdn.sofifa.org/flags/18.png,87,92,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€66.5M,€195K,2238
36,36,190460,C. Eriksen,25,https://cdn.sofifa.org/48/18/players/190460.png,Denmark,https://cdn.sofifa.org/flags/13.png,87,91,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€65M,€165K,2064
37,37,181872,A. Vidal,30,https://cdn.sofifa.org/48/18/players/181872.png,Chile,https://cdn.sofifa.org/flags/55.png,87,87,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€37.5M,€160K,2278
38,38,179813,E. Cavani,30,https://cdn.sofifa.org/48/18/players/179813.png,Uruguay,https://cdn.sofifa.org/flags/60.png,87,87,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€48.5M,€160K,2097
39,39,176676,Marcelo,29,https://cdn.sofifa.org/48/18/players/176676.png,Brazil,https://cdn.sofifa.org/flags/54.png,87,87,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€38M,€250K,2209
40,40,171877,M. Hamšík,29,https://cdn.sofifa.org/48/18/players/171877.png,Slovakia,https://cdn.sofifa.org/flags/43.png,87,87,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,€48.5M,€130K,2184
41,41,168651,I. Rakitić,29,https://cdn.sofifa.org/48/18/players/168651.png,Croatia,https://cdn.sofifa.org/flags/10.png,87,87,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€48.5M,€275K,2129
42,42,168542,David Silva,31,https://cdn.sofifa.org/48/18/players/168542.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€44M,€220K,1977
43,43,162835,S. Handanovič,32,https://cdn.sofifa.org/48/18/players/162835.png,Slovenia,https://cdn.sofifa.org/flags/44.png,87,87,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€29M,€91K,1264
44,44,152729,Piqué,30,https://cdn.sofifa.org/48/18/players/152729.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€37.5M,€240K,1974
45,45,41,Iniesta,33,https://cdn.sofifa.org/48/18/players/41.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€29.5M,€260K,2073
46,46,202126,H. Kane,23,https://cdn.sofifa.org/48/18/players/202126.png,England,https://cdn.sofifa.org/flags/14.png,86,90,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€59M,€165K,2057
47,47,198710,J. Rodríguez,25,https://cdn.sofifa.org/48/18/players/198710.png,Colombia,https://cdn.sofifa.org/flags/56.png,86,89,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€56M,€250K,2118
48,48,197781,Isco,25,https://cdn.sofifa.org/48/18/players/197781.png,Spain,https://cdn.sofifa.org/flags/45.png,86,90,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€56.5M,€250K,2105
49,49,197445,D. Alaba,25,https://cdn.sofifa.org/48/18/players/197445.png,Austria,https://cdn.sofifa.org/flags/4.png,86,88,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€44.5M,€150K,2278
50,50,192505,R. Lukaku,24,https://cdn.sofifa.org/48/18/players/192505.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,90,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€59M,€210K,1997
51,51,191043,Alex Sandro,26,https://cdn.sofifa.org/48/18/players/191043.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,88,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€44M,€175K,2207
52,52,189596,T. Müller,27,https://cdn.sofifa.org/48/18/players/189596.png,Germany,https://cdn.sofifa.org/flags/21.png,86,86,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€47.5M,€190K,2078
53,53,189511,Sergio Busquets,28,https://cdn.sofifa.org/48/18/players/189511.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€36M,€250K,1998
54,54,189242,Coutinho,25,https://cdn.sofifa.org/48/18/players/189242.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,89,Liverpool,https://cdn.sofifa.org/24/18/teams/9.png,€56M,€205K,2049
55,55,188350,M. Reus,28,https://cdn.sofifa.org/48/18/players/188350.png,Germany,https://cdn.sofifa.org/flags/21.png,86,86,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,€45M,€120K,2157
56,56,184087,T. Alderweireld,28,https://cdn.sofifa.org/48/18/players/184087.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,87,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€40.5M,€165K,2047
57,57,179944,David Luiz,30,https://cdn.sofifa.org/48/18/players/179944.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,86,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€33M,€190K,2123
58,58,179844,Diego Costa,28,https://cdn.sofifa.org/48/18/players/179844.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€46M,€235K,1984
59,59,178518,R. Nainggolan,29,https://cdn.sofifa.org/48/18/players/178518.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,86,Roma,https://cdn.sofifa.org/24/18/teams/52.png,€42.5M,€130K,2286
60,60,177610,Javi Martínez,28,https://cdn.sofifa.org/48/18/players/177610.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€36M,€165K,1973
61,61,175943,D. Mertens,30,https://cdn.sofifa.org/48/18/players/175943.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,86,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,€43M,€135K,2035
62,62,172879,Sokratis,29,https://cdn.sofifa.org/48/18/players/172879.png,Greece,https://cdn.sofifa.org/flags/22.png,86,86,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,€34.5M,€110K,1885
63,63,168609,Miranda,32,https://cdn.sofifa.org/48/18/players/168609.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,86,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€25.5M,€115K,1890
64,64,165153,K. Benzema,29,https://cdn.sofifa.org/48/18/players/165153.png,France,https://cdn.sofifa.org/flags/18.png,86,86,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€44.5M,€295K,1950
65,65,162895,Cesc Fàbregas,30,https://cdn.sofifa.org/48/18/players/162895.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€41M,€210K,2118
66,66,156616,F. Ribéry,34,https://cdn.sofifa.org/48/18/players/156616.png,France,https://cdn.sofifa.org/flags/18.png,86,86,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€22.5M,€175K,1965
67,67,120533,Pepe,34,https://cdn.sofifa.org/48/18/players/120533.png,Portugal,https://cdn.sofifa.org/flags/38.png,86,86,Beşiktaş JK,https://cdn.sofifa.org/24/18/teams/327.png,€13.5M,€94K,1839
68,68,48940,P. Čech,35,https://cdn.sofifa.org/48/18/players/48940.png,Czech Republic,https://cdn.sofifa.org/flags/12.png,86,86,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€10.5M,€92K,1206
69,69,208418,Y. Carrasco,23,https://cdn.sofifa.org/48/18/players/208418.png,Belgium,https://cdn.sofifa.org/flags/7.png,85,90,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,€51.5M,€77K,1991
70,70,201535,R. Varane,24,https://cdn.sofifa.org/48/18/players/201535.png,France,https://cdn.sofifa.org/flags/18.png,85,92,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€46.5M,€175K,1875
71,71,200145,Casemiro,25,https://cdn.sofifa.org/48/18/players/200145.png,Brazil,https://cdn.sofifa.org/flags/54.png,85,89,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€42M,€195K,2138
72,72,198219,L. Insigne,26,https://cdn.sofifa.org/48/18/players/198219.png,Italy,https://cdn.sofifa.org/flags/27.png,85,86,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,€45M,€115K,1949
73,73,193301,A. Lacazette,26,https://cdn.sofifa.org/48/18/players/193301.png,France,https://cdn.sofifa.org/flags/18.png,85,88,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€48.5M,€180K,2063
74,74,193041,K. Navas,30,https://cdn.sofifa.org/48/18/players/193041.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,85,85,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€24.5M,€165K,1301
75,75,192883,H. Mkhitaryan,28,https://cdn.sofifa.org/48/18/players/192883.png,Armenia,https://cdn.sofifa.org/flags/3.png,85,85,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€39M,€195K,2148
76,76,192593,D. Subašić,32,https://cdn.sofifa.org/48/18/players/192593.png,Croatia,https://cdn.sofifa.org/flags/10.png,85,85,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,€22M,€46K,1305
77,77,192563,B. Leno,25,https://cdn.sofifa.org/48/18/players/192563.png,Germany,https://cdn.sofifa.org/flags/21.png,85,88,Bayer 04 Leverkusen,https://cdn.sofifa.org/24/18/teams/32.png,€34M,€61K,1247
78,78,192448,M. ter Stegen,25,https://cdn.sofifa.org/48/18/players/192448.png,Germany,https://cdn.sofifa.org/flags/21.png,85,89,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€35.5M,€155K,1274
79,79,190547,K. Glik,29,https://cdn.sofifa.org/48/18/players/190547.png,Poland,https://cdn.sofifa.org/flags/37.png,85,85,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,€30M,€60K,1612
80,80,189332,Jordi Alba,28,https://cdn.sofifa.org/48/18/players/189332.png,Spain,https://cdn.sofifa.org/flags/45.png,85,85,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€30.5M,€215K,2206
81,81,186942,I. Gündoğan,26,https://cdn.sofifa.org/48/18/players/186942.png,Germany,https://cdn.sofifa.org/flags/21.png,85,87,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€46M,€190K,2148
82,82,184432,Azpilicueta,27,https://cdn.sofifa.org/48/18/players/184432.png,Spain,https://cdn.sofifa.org/flags/45.png,85,87,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€37.5M,€160K,2099
83,83,183898,A. Di María,29,https://cdn.sofifa.org/48/18/players/183898.png,Argentina,https://cdn.sofifa.org/flags/52.png,85,85,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€37.5M,€145K,2115
84,84,180206,M. Pjanić,27,https://cdn.sofifa.org/48/18/players/180206.png,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,85,86,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€43.5M,€160K,2172
85,85,173210,C. Marchisio,31,https://cdn.sofifa.org/48/18/players/173210.png,Italy,https://cdn.sofifa.org/flags/27.png,85,85,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€33M,€160K,2210
86,86,172871,J. Vertonghen,30,https://cdn.sofifa.org/48/18/players/172871.png,Belgium,https://cdn.sofifa.org/flags/7.png,85,85,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€28.5M,€130K,2079
87,87,170890,B. Matuidi,30,https://cdn.sofifa.org/48/18/players/170890.png,France,https://cdn.sofifa.org/flags/18.png,85,85,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€28.5M,€145K,2172
88,88,167628,S. Ruffier,30,https://cdn.sofifa.org/48/18/players/167628.png,France,https://cdn.sofifa.org/flags/18.png,85,85,AS Saint-Étienne,https://cdn.sofifa.org/24/18/teams/1819.png,€24.5M,€49K,1257
89,89,164169,Filipe Luís,31,https://cdn.sofifa.org/48/18/players/164169.png,Brazil,https://cdn.sofifa.org/flags/54.png,85,85,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,€25M,€81K,2134
90,90,139720,V. Kompany,31,https://cdn.sofifa.org/48/18/players/139720.png,Belgium,https://cdn.sofifa.org/flags/7.png,85,85,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€26M,€170K,1913
91,91,137186,A. Barzagli,36,https://cdn.sofifa.org/48/18/players/137186.png,Italy,https://cdn.sofifa.org/flags/27.png,85,85,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€5M,€105K,1750
92,92,225508,E. Bailly,23,https://cdn.sofifa.org/48/18/players/225508.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,84,89,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€35.5M,€150K,1890
93,93,220834,Marco Asensio,21,https://cdn.sofifa.org/48/18/players/220834.png,Spain,https://cdn.sofifa.org/flags/45.png,84,92,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€46M,€175K,1998
94,94,218667,Bernardo Silva,22,https://cdn.sofifa.org/48/18/players/218667.png,Portugal,https://cdn.sofifa.org/flags/38.png,84,91,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€43.5M,€165K,2012
95,95,212218,A. Laporte,23,https://cdn.sofifa.org/48/18/players/212218.png,France,https://cdn.sofifa.org/flags/18.png,84,89,Athletic Club de Bilbao,https://cdn.sofifa.org/24/18/teams/448.png,€35.5M,€36K,1919
96,96,211117,D. Alli,21,https://cdn.sofifa.org/48/18/players/211117.png,England,https://cdn.sofifa.org/flags/14.png,84,90,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€43M,€115K,2122
97,97,208722,S. Mané,25,https://cdn.sofifa.org/48/18/players/208722.png,Senegal,https://cdn.sofifa.org/flags/136.png,84,87,Liverpool,https://cdn.sofifa.org/24/18/teams/9.png,€39M,€175K,2046
98,98,204963,Carvajal,25,https://cdn.sofifa.org/48/18/players/204963.png,Spain,https://cdn.sofifa.org/flags/45.png,84,87,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€32M,€195K,2039
99,99,202166,J. Draxler,23,https://cdn.sofifa.org/48/18/players/202166.png,Germany,https://cdn.sofifa.org/flags/21.png,84,87,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€39.5M,€120K,2017
100,100,201399,M. Icardi,24,https://cdn.sofifa.org/48/18/players/201399.png,Argentina,https://cdn.sofifa.org/flags/52.png,84,89,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€42M,€105K,1866
101,101,201153,Morata,24,https://cdn.sofifa.org/48/18/players/201153.png,Spain,https://cdn.sofifa.org/flags/45.png,84,88,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€41M,€170K,1862
