,ID_x,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,ID_y,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys
0,20801,Cristiano Ronaldo,31,https://cdn.sofifa.org/48/17/players/20801.png,Portugal,https://cdn.sofifa.org/flags/38.png,94,94,Real Madrid CF,https://cdn.sofifa.org/24/17/teams/243.png,€87M,€340K,2225,91,63,90,63,93,93,84,81,92,93,76,7,11,15,14,11,87,20801,29,95,77,90,22,85,94,96,83,92,23,92,92,31,80,85,88
1,167495,M. Neuer,30,https://cdn.sofifa.org/48/17/players/167495.png,Germany,https://cdn.sofifa.org/flags/21.png,92,92,FC Bayern Munich,https://cdn.sofifa.org/24/17/teams/21.png,€69.5M,€240K,1493,58,29,52,35,48,70,15,14,30,13,11,91,90,95,91,89,25,167495,30,78,59,16,10,47,12,85,55,25,11,61,44,10,83,70,11
2,190871,Neymar,24,https://cdn.sofifa.org/48/17/players/190871.png,Brazil,https://cdn.sofifa.org/flags/54.png,92,94,Paris Saint-Germain,https://cdn.sofifa.org/24/17/teams/73.png,€106M,€260K,2098,93,56,96,82,95,80,75,81,96,89,84,9,9,15,15,11,62,190871,36,61,75,77,21,81,90,88,81,78,33,90,79,24,53,80,83
3,188545,R. Lewandowski,27,https://cdn.sofifa.org/48/17/players/188545.png,Poland,https://cdn.sofifa.org/flags/37.png,91,91,FC Bayern Munich,https://cdn.sofifa.org/24/17/teams/21.png,€79.5M,€300K,2143,79,80,78,80,89,87,62,77,85,91,84,15,6,12,8,10,85,188545,39,84,65,83,25,81,91,91,83,88,19,83,79,42,84,78,87
4,193080,De Gea,25,https://cdn.sofifa.org/48/17/players/193080.png,Spain,https://cdn.sofifa.org/flags/45.png,90,92,Manchester United,https://cdn.sofifa.org/24/17/teams/11.png,€68.5M,€170K,1458,57,38,60,43,42,64,17,21,18,13,19,90,85,87,86,90,21,193080,30,67,51,12,13,40,12,88,50,31,13,58,40,21,64,68,13
5,155862,Sergio Ramos,30,https://cdn.sofifa.org/48/17/players/155862.png,Spain,https://cdn.sofifa.org/flags/45.png,90,90,Real Madrid CF,https://cdn.sofifa.org/24/17/teams/243.png,€49M,€160K,2155,77,84,80,60,84,76,66,73,61,60,67,11,8,9,7,11,91,155862,88,92,72,55,86,68,52,85,78,79,90,78,84,89,81,63,66
6,183277,E. Hazard,25,https://cdn.sofifa.org/48/17/players/183277.png,Belgium,https://cdn.sofifa.org/flags/7.png,90,91,Chelsea,https://cdn.sofifa.org/24/17/teams/5.png,€80M,€180K,2092,93,54,92,90,92,86,80,82,93,83,79,11,12,6,8,8,57,183277,41,59,81,82,25,86,85,85,86,79,22,87,77,27,65,86,79
7,167664,G. Higuaín,28,https://cdn.sofifa.org/48/17/players/167664.png,Argentina,https://cdn.sofifa.org/flags/52.png,90,90,Juventus,https://cdn.sofifa.org/24/17/teams/45.png,€69M,€210K,1964,77,50,75,69,85,86,68,74,84,91,62,5,12,7,5,10,86,167664,20,79,59,82,12,70,92,88,75,88,18,81,75,22,85,70,88
8,182521,T. Kroos,26,https://cdn.sofifa.org/48/17/players/182521.png,Germany,https://cdn.sofifa.org/flags/21.png,90,90,Real Madrid CF,https://cdn.sofifa.org/24/17/teams/243.png,€69.5M,€200K,2164,57,60,70,69,89,85,85,85,79,76,84,10,11,13,7,10,54,182521,85,34,93,90,63,73,79,86,90,87,69,52,78,82,74,88,82
9,177003,L. Modrić,30,https://cdn.sofifa.org/48/17/players/177003.png,Croatia,https://cdn.sofifa.org/flags/10.png,89,89,Real Madrid CF,https://cdn.sofifa.org/24/17/teams/243.png,€54M,€160K,2231,77,62,93,94,92,84,78,79,86,71,77,13,9,7,14,9,55,177003,76,67,83,82,66,80,79,88,92,73,73,71,83,80,58,90,74
10,192119,T. Courtois,24,https://cdn.sofifa.org/48/17/players/192119.png,Belgium,https://cdn.sofifa.org/flags/7.png,89,92,Chelsea,https://cdn.sofifa.org/24/17/teams/5.png,€65.5M,€170K,1282,46,23,61,45,23,52,14,19,13,14,11,85,91,69,86,88,13,192119,15,68,31,17,11,27,13,81,32,36,16,52,38,18,70,44,12
11,1179,G. Buffon,38,https://cdn.sofifa.org/48/17/players/1179.png,Italy,https://cdn.sofifa.org/flags/27.png,89,89,Juventus,https://cdn.sofifa.org/24/17/teams/45.png,€10.5M,€110K,1335,49,38,55,49,28,70,13,20,26,15,13,89,88,74,90,84,13,1179,28,75,35,13,10,22,12,80,37,39,11,43,39,11,69,50,17
12,173731,G. Bale,26,https://cdn.sofifa.org/48/17/players/173731.png,Wales,https://cdn.sofifa.org/flags/50.png,89,89,Real Madrid CF,https://cdn.sofifa.org/24/17/teams/243.png,€64.5M,€210K,2262,93,65,77,65,87,85,87,86,89,87,85,15,15,11,5,6,86,173731,59,85,80,90,51,76,86,87,86,91,52,95,75,55,80,79,76
13,138956,G. Chiellini,31,https://cdn.sofifa.org/48/17/players/138956.png,Italy,https://cdn.sofifa.org/flags/27.png,89,89,Juventus,https://cdn.sofifa.org/24/17/teams/45.png,€39.5M,€160K,1871,69,92,59,65,57,82,58,60,58,33,31,3,3,2,4,3,84,138956,88,89,59,49,92,50,28,82,59,78,90,79,69,92,91,50,45
14,192985,K. De Bruyne,25,https://cdn.sofifa.org/48/17/players/192985.png,Belgium,https://cdn.sofifa.org/flags/7.png,89,92,Manchester City,https://cdn.sofifa.org/24/17/teams/10.png,€75.5M,€180K,2163,76,68,80,75,87,84,90,83,85,83,83,15,13,5,10,13,53,192985,56,65,84,86,30,77,84,88,90,85,40,78,85,51,73,90,82
15,153079,S. Agüero,28,https://cdn.sofifa.org/48/17/players/153079.png,Argentina,https://cdn.sofifa.org/flags/52.png,89,89,Manchester City,https://cdn.sofifa.org/24/17/teams/10.png,€61.5M,€210K,2075,92,63,86,90,89,90,70,82,89,90,72,13,15,6,11,14,68,153079,24,80,63,83,13,83,91,89,79,88,12,85,74,20,73,83,85
16,9014,A. Robben,32,https://cdn.sofifa.org/48/17/players/9014.png,Netherlands,https://cdn.sofifa.org/flags/34.png,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/17/teams/21.png,€39.5M,€140K,2080,87,47,89,91,89,86,80,87,92,85,81,10,8,11,5,15,51,9014,39,61,71,88,29,80,85,87,84,86,26,86,68,26,67,83,86
17,189509,Thiago,25,https://cdn.sofifa.org/48/17/players/189509.png,Spain,https://cdn.sofifa.org/flags/45.png,88,90,FC Bayern Munich,https://cdn.sofifa.org/24/17/teams/21.png,€62M,€130K,2184,77,57,90,86,92,81,72,85,90,69,77,6,11,7,9,13,58,189509,78,75,90,82,49,75,83,84,91,75,62,68,75,64,59,85,90
18,183907,J. Boateng,27,https://cdn.sofifa.org/48/17/players/183907.png,Germany,https://cdn.sofifa.org/flags/21.png,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/17/teams/21.png,€43M,€170K,1989,72,82,58,53,71,86,69,56,67,34,31,7,12,15,6,5,85,183907,83,75,80,58,88,46,47,82,75,79,90,78,74,91,91,76,53
19,164240,Thiago Silva,31,https://cdn.sofifa.org/48/17/players/164240.png,Brazil,https://cdn.sofifa.org/flags/54.png,88,88,Paris Saint-Germain,https://cdn.sofifa.org/24/17/teams/73.png,€34M,€140K,2129,72,77,75,68,80,80,60,61,68,38,67,9,12,5,9,10,82,164240,89,93,81,71,90,71,59,84,79,74,88,76,74,89,81,74,63
20,211110,P. Dybala,22,https://cdn.sofifa.org/48/17/players/211110.png,Argentina,https://cdn.sofifa.org/flags/52.png,88,93,Juventus,https://cdn.sofifa.org/24/17/teams/45.png,€71.5M,€120K,2065,89,48,91,85,93,84,80,88,92,85,84,5,4,4,5,8,68,211110,24,75,71,88,14,86,84,84,83,82,20,85,83,20,65,84,88
